OIL_WTI VALUE (1825 TERM),NGP_NYMX  VALUE (1825 TERM),EQTY_S&P500 INDX_USD VALUE,Basis ,IR_USD_GOVT VALUE (10950 TERM),IR_CAD_GOVT VALUE (10950 TERM),IR_CAD_SWAP VALUE (10950 TERM),IR_USD_SWAP VALUE (10950 TERM),FX Rate
88.0375,4.38075,1684.976667,-1.4625,4.17E-02,3.27E-02,3.67E-02,3.98E-02,0.953225037
87.96347826,4.344391304,1720.313913,2.630434783,4.09E-02,0.031889729,3.59E-02,3.87E-02,0.940097217
86.6565,4.23145,1785.415714,2.012142857,4.24E-02,3.24E-02,3.63E-02,3.98E-02,0.914882829
86.12809524,4.339857143,1806.853333,0.333333333,4.29E-02,3.32E-02,3.69E-02,4.05E-02,0.904694215
82.84333333,4.422952381,1824.517826,0.130434783,4.14E-02,3.19E-02,3.60E-02,3.96E-02,0.900172001
85.25105263,4.486473684,1820.3275,-1.675,0.040350461,3.10E-02,3.52E-02,3.85E-02,0.90978995
85.46904762,4.600047619,1863.523333,-1.166666667,3.97E-02,3.04E-02,3.46E-02,3.77E-02,0.918403518
80.81380952,4.705857143,1864.29,-1.011136364,3.82E-02,3.03E-02,3.45E-02,3.66E-02,0.923836602
81.56,4.554285714,1890.256364,-0.125,3.67E-02,0.029191586,3.35E-02,3.51E-02,0.931561018
85.40714286,4.634333333,1946.936667,-0.642619048,3.70E-02,2.89E-02,3.38E-02,0.035366271,0.915520124
87.61909091,4.4915,1974.983913,-1.613636364,3.60E-02,0.02802075,3.30E-02,3.44E-02,0.908434504
87.60666667,4.371095238,1961.278095,-2.047619048,3.45E-02,2.68E-02,0.031777796,3.29E-02,0.891846277
86.4452381,4.322904762,1995.436364,1.170909091,3.47E-02,0.027612976,3.23E-02,3.35E-02,0.882589921
82.25826087,4.28173913,1937.152609,5.113636364,3.25E-02,2.61E-02,3.02E-02,3.13E-02,0.866276743
80.48263158,4.238210526,2046.1215,3.3875,3.24E-02,2.62E-02,3.00E-02,3.11E-02,0.825078801
71.66863636,4.290409091,2055.702174,0.285714286,3.00E-02,2.46E-02,2.88E-02,0.028694098,0.799968494
66.7685,4.0857,2027.761429,2.216136364,2.60E-02,2.18E-02,2.55E-02,2.44E-02,0.792951569
69.68947368,4.073842105,2082.9355,1.75025,0.027130901,2.11E-02,2.49E-02,2.52E-02,0.810752636
66.85818182,3.912863636,2079.990455,0.204772727,2.76E-02,2.15E-02,2.54E-02,2.53E-02,0.821032801
65.86095238,3.814666667,2093.594545,0.618055556,2.73E-02,2.13E-02,2.48E-02,2.45E-02,0.809344178
67.84,3.4889,2112.615714,1.96275,0.031580309,2.42E-02,2.77E-02,2.77E-02,0.778381912
68.02181818,3.429,2099.279091,2.102272727,3.32E-02,2.46E-02,2.84E-02,2.95E-02,0.760893433
64.60136364,3.471590909,2093.392609,0.717391304,3.28E-02,2.33E-02,2.73E-02,0.029487975,0.753453694
60.93666667,3.317714286,2039.866667,0.619047619,3.03E-02,2.20E-02,2.58E-02,2.71E-02,0.765093378
